pm2_5,city,co,pm10,level,o3,spider,so2,crawl_time,date,aqi,no2
70,,1.2,88,良,66,aqi_redisspider,39,2018-11-28 17:27:22.678000,2015-12-13,94,33
125,,2,156,中度污染,73,aqi_redisspider,58,2018-11-28 17:27:22.680000,2015-12-14,165,51
77,,1.4,105,轻度污染,70,aqi_redisspider,45,2018-11-28 17:27:22.681000,2015-12-15,103,35
30,,0.9,51,良,57,aqi_redisspider,38,2018-11-28 17:27:22.683000,2015-12-16,51,29
36,,1,52,良,66,aqi_redisspider,34,2018-11-28 17:27:22.688000,2015-12-17,52,32
169,,1.6,204,重度污染,60,aqi_redisspider,35,2018-11-28 17:27:22.690000,2016-01-10,219,35
117,,1.1,150,中度污染,48,aqi_redisspider,19,2018-11-28 17:27:22.691000,2016-01-11,153,17
53,,0.7,70,良,44,aqi_redisspider,16,2018-11-28 17:27:22.693000,2016-01-12,73,18
117,,1.1,137,中度污染,45,aqi_redisspider,24,2018-11-28 17:27:22.695000,2016-01-13,153,24
74,,2.1,0,良,66,aqi_redisspider,54,2018-11-28 17:27:22.703000,2014-04-16,99,50
116,,2.5,0,中度污染,99,aqi_redisspider,35,2018-11-28 17:27:22.704000,2014-04-17,152,54
130,,2.5,158,中度污染,86,aqi_redisspider,26,2018-11-28 17:27:22.705000,2014-04-18,172,39
93,,3.2,0,轻度污染,42,aqi_redisspider,34,2018-11-28 17:27:22.706000,2014-04-19,123,55
109,,4.8,181,轻度污染,62,aqi_redisspider,33,2018-11-28 17:27:22.708000,2014-04-20,143,59
108,,5.5,167,轻度污染,30,aqi_redisspider,41,2018-11-28 17:27:22.711000,2014-04-21,142,70
100,,1.5,159,轻度污染,174,aqi_redisspider,36,2018-11-28 17:27:22.714000,2014-05-22,132,50
51,,1.2,88,良,151,aqi_redisspider,25,2018-11-28 17:27:22.718000,2014-05-23,93,38
57,,1.6,0,良,96,aqi_redisspider,0,2018-11-28 17:27:22.744000,2014-05-24,78,29
74,,1.1,91,良,53,aqi_redisspider,26,2018-11-28 17:27:22.747000,2016-02-11,99,33
56,,1.1,70,良,39,aqi_redisspider,22,2018-11-28 17:27:22.749000,2016-02-12,77,23
35,,1.3,42,优,58,aqi_redisspider,18,2018-11-28 17:27:22.751000,2016-02-13,50,21
17,,0.6,26,优,64,aqi_redisspider,14,2018-11-28 17:27:22.753000,2016-02-14,32,14
25,,0.6,36,优,66,aqi_redisspider,20,2018-11-28 17:27:22.754000,2016-02-15,36,17
110,,1.9,205,轻度污染,117,aqi_redisspider,74,2018-11-28 17:27:22.757000,2014-06-14,144,48
98,,1.2,146,轻度污染,75,aqi_redisspider,22,2018-11-28 17:27:22.759000,2014-06-15,129,26
116,,1.3,0,中度污染,98,aqi_redisspider,6,2018-11-28 17:27:22.760000,2014-06-16,152,22
112,,1.4,0,轻度污染,123,aqi_redisspider,7,2018-11-28 17:27:22.762000,2014-06-17,147,23
84,,1.6,0,轻度污染,99,aqi_redisspider,6,2018-11-28 17:27:22.765000,2014-06-18,112,26
